Н.БОЛТЯНСКАЯ	Пожалуйста. Здравствуйте.
ДМИТРИЙ	У меня к вашей гостье такой вопрос. Я специалист по как вам сказать, для вас это все булавки, спицы, шпильки. Но понимаете, почему-то у нас все время низкая зарплата. Как ее можно повысить, ведь если цены будут поднимать, вы же у нас покупать не будете.
А.КАЛЕДИНА	Простите, а какая у вас зарплата?
ДМИТРИЙ	Где-то около двух тысяч.
А.КАЛЕДИНА	Рублей?
ДМИТРИЙ	Да.
А.КАЛЕДИНА	Вы наемный работник?
ДМИТРИЙ	Да, и примерно в полпятого утра встаю работать и где-то часов до 11 каждый день.
А.КАЛЕДИНА	Дмитрий, скажите, пожалуйста, а вы не можете заниматься частным предпринимательством?
ДМИТРИЙ	Нет, я инвалид по зрению
А.КАЛЕДИНА	Это достаточно сложный вопрос.
ДМИТРИЙ	И вообще почему-то везде для инвалидов такие низкие расценки.
А.КАЛЕДИНА	На самом деле, потому что наши инвалиды немножко не знают о своих правах. Дело в том, что ваш работодатель, нанимая инвалидов на работу, имеет достаточно хорошие льготы, в том числе по налогам, по сборам и так далее.
ДМИТРИЙ	Между прочим, наше предприятие Общество слепых, даже двое депутатов ничего не могут сделать, нас задушили налогами. Мы платим наравне со зрячими. Нам бы зарплату поднимали, но налоги мешают.
А.КАЛЕДИНА	Вы в Москве находитесь?
ДМИТРИЙ	Да.
А.КАЛЕДИНА	Депутаты Московской думы или нет?
ДМИТРИЙ	Нет. В Госдуме.
