И МОТОВИЛОВ	Я думал, вы скажете: «Звоните Дикаприо!».
Е АФАНАСЬЕВА	Нет, почему, еще есть «Год свиньи», премьера, которая еще лежит на «ТНТ-Premier», могу еще так перепутать, так что все-таки не «свиньи», а «культуры».
	У меня вопрос к авторам, 2 Ильи, еще раз говорю, Илья Мотовилов и Илья Швецов, это ваш первый опыт большого сериала, вы, как я понимаю, играли в «КВН»?
И ШВЕЦОВ	Да.
Е АФАНАСЬЕВА	Вы в «Stand Up» работали…
И ШВЕЦОВ	Я, да.
Е АФАНАСЬЕВА	Вы, как в сериалы, как это в структуре «Comedy Club Production» происходит, вот человек хочет писать сериал, он приходит, говорит: «Я хочу писать сериал».
И ШВЕЦОВ	Нет, у нас, во-первых, не первый опыт, мы уже…
Е АФАНАСЬЕВА	Не первый.
И ШВЕЦОВ	Да, мы уже писали несколько проектов, у нас как-то так сразу получилось, что мы попали на сериалы, после того, как закончили играть в «КВН». А как это все происходит, ну, есть штат авторов, которые придумывают сериалы.
Е АФАНАСЬЕВА	То есть вы попали в то, что называется авторская комната, да…
И ШВЕЦОВ	Ну, мы создали свою…
Е АФАНАСЬЕВА	Вы создали свою…
И ШВЕЦОВ	У нас своя авторская комната…
Е АФАНАСЬЕВА	Для этого сериала.
И ШВЕЦОВ	А так мы пришли с идеей в продакшен к продюсеру, Вячеславу Дусмухаметову, он послушал нас, сказал: «Все должно быть не так», и немножко поменял там градус, и придумали этого чиновника и все…
