Т.ТРОЯНСКАЯ	А «незаконные отношения» это не называется?
В.МИЛОНОВ	Нет, не называется.
И.КОЧЕТКОВ	Да. Нет, подождите. Здесь написано, что «под публичными действиями, направленными на пропаганду мужеложства» и т.д. понимается, в настоящий момент «следует понимать деятельность по целенаправленному и бесконтрольному распространению общедоступным способом информации», в том числе, значит, «способной нанести вред здоровью» и т.д., «в том числе сформировать у них искаженное представление о социальной равноценности традиционных и нетрадиционных брачных отношений». Так вот, гражданский брак между мужчиной и женщиной — это нетрадиционные брачные отношения.
В.МИЛОНОВ	А это не брачные отношения, секунду.
И.КОЧЕТКОВ	Почему же?
В.МИЛОНОВ	Это не брачные отношения.
И.КОЧЕТКОВ	Извините, а, в таком случае, а у нас нет брачных отношений между мужчиной и мужчиной. У нас нет брачных…
В.МИЛОНОВ	Поэтому есть традиционные брачные отношения, да.
И.КОЧЕТКОВ	То есть, вы хотите сказать, что, значит, рассказывать детям о гомосексуальных отношениях, в принципе, можно, только нельзя рассказывать о брачных отношениях.
В.МИЛОНОВ	Не стоит, не стоит. Не стоит.
И.КОЧЕТКОВ	Почему? По закону вашему можно.
В.МИЛОНОВ	Ну, потому что так называемые брачные отношения. У нас нету браков, слава богу, между мужчинами, между женщинами, между зверюшками и женщинами и мужчинами. Вот, у нас… Мы не взяли на себя… Мы не часть Европейского Союза, нас не обязывают…
И.КОЧЕТКОВ	Виталий Валентинович, я не о том, я не о том вас спрашиваю.
