С.БУНТМАН	Чтобы решили за нас, да.
С.КОВАЛЕВ	Это все от свободных выборов – пенсионеры умирают?
Н.КУЗЬМИН	Нет.
С.КОВАЛЕВ	Да? вы в это верите? Мне просто страшно вас слушать. Свободные выборы ведут к тому, что пенсионеры роются в помойках и так далее? Вы полагаете, это Путин устроил так, чтобы задержки зарплаты – они и сейчас бывают, мы знаем про голодовки, правда? – были бы не полтора года, а 2-3 месяца? Вы верите в эти мифы? Ну мне вас жалко.
Н.КУЗЬМИН	Я сейчас не говорю о своей точке зрения. Я сейчас стремлюсь встать, так как я в позиции против вас, я хочу стать на сторону власти и как-то оправдать их.
С.КОВАЛЕВ	Вы можете еще встать на сторону народа…
Н.КУЗЬМИН	А мне кажется, народ за.
С.КОВАЛЕВ	Да. Но я ведь вам уже же приводил пример – народ был за Сталина и за Гитлера. Народ имеет обыкновение ошибаться. Разница индивидуальных ошибок и народных состоит только вот в чем – народные ошибки несут гораздо больше крови.
Н.КУЗЬМИН	Тогда, действительно, может, не давать власть народу? Если они несут кровь с собой, эти ошибки? Нет гарантии, что свободные выборы не будут ошибкой народа, как вы сами говорите?
С.КОВАЛЕВ	Конечно, нет.
Н.КУЗЬМИН	Тогда я не понимаю.
