З.АБАШИДЗЕ	Вам спасибо. До свидания.
Н.АСАДОВА	До свидания. Это был Зураб Абашидзе, специальный представитель премьер-министра Грузии по отношениям с Россией. И хотя Зураб Ираклиевич сказал, что у него есть надежда на то, что российский МИД начнёт облегчать визовый режим для граждан Грузии русского происхождения, ну и вообще для всех грузин, чтоб они могли как-то быстрее попадать в Россию, чтобы легче было получить визы, тем не менее, мы обратились в МИД России с этим вопросом. И нам сказали, что такая система работает уже 20 лет, и никаких предпосылок к её изменению нету.
	Что никакой информации о предстоящем визовом послаблении для людей с грузинским паспортом нет. То есть получается такая ситуация, что если у вас два паспорта – и русский, и грузинский, а я скажу так, что Грузия признаёт двойное гражданство, то вы можете спокойно пересекать границу туда и обратно. Но если у вас, так случилось, что вы русский человек, идентифицируете себя как русский человек, но у вас нету российского гражданства, то на Родину к себе в Россию вы поехать сможете, конечно, но с большими-большими проблемами. И никаких послаблений в ближайшем будущем, как говорит нам МИД России, ждать не приходится.
	Вот это всё, что я хотела сказать в первой части нашей передачи. Сейчас мы прервёмся на новости, рекламу. Затем мы вернёмся и продолжим наш разговор о русской диаспоре в Грузии.
Н.АСАДОВА	22 часа и 33 минуты в Москве. Это передача Lingua Franca, у микрофона по-прежнему Наргиз Асадова. И мы сегодня говорим о том, как живут русские в Грузии. Ещё раз напомню для тех, кто к нам только что подключился, что, к сожалению, нет сейчас, не действует посольство Грузии в Россию, потому что не восстановлены дипломатические отношения. Соответственно, на наши вопросы отвечают либо косвенно дипломаты секции интересов Грузии при посольстве Швейцарии, потому что они не имеют права публично выступать, либо, вот, нам удалось поговорить с двумя министрами грузинскими.
	Вы слышали в первой части передачи Зураба Абашидзе, специального представителя премьер-министра Грузии по отношениям с Россией, и в этой части передачи у вас будет возможность послушать ответ на часть вопросов министра культуры Грузии Гурама Одишарии. Да, я хотела ещё сказать, что последние новости, да, мы говорили с Зурабом Абашидзе по поводу возвращения грузинского вина и минеральной воды на рынки России. Ну и последняя новость то, что Роспотребнадзор сообщил нам, что буквально завтра будет выдано разрешение на 22 вида продукции из Грузии. И эта продукция прошла уже регистрацию и по анализам соответствует заявленным требованиям.
	И, по словам главного санитарного врача Геннадия Онищенко, 22 вида грузинской винодельческой продукции – это и вино, и коньяк, уже в ближайшее время будут внесены в государственные реестры. С этого момент можно будет начинать поставки. Так что Зураб Абашидзе был прав, что до лета скорее всего мы увидим грузинские вина на прилавках России. Правда, тут уже некоторые сайты и другие средства массовой информации пишут о том, что это будет довольно дорогое вино, которое будет стоить за бутылку от 500 рублей и выше.
	Но я хочу вам сказать как любитель грузинского вина – оно того стоит. Вернёмся к другим вопросам. В частности, мы обычно говорим о том, на каком языке ведётся делопроизводство. В Грузии делопроизводство всё ведётся полностью на грузинском языке. Грузинский язык – это единственный язык, признанный государственным в Грузии.
	Если вы обращаетесь с запросом в какое-то министерство на русском языке, то ответ вам придёт только по-грузински. В Грузии не действует отдел переводчиков, а мы знаем, что в других государствах, например, насколько я помню, в Казахстане, мы уже говорили про эту страну в рамках программы Lingua Franca, там есть возможность получить по-русски ответ. Также в некоторых районах Украины можно по-русски получить ответ. А вот в Грузии – нет. Только по-грузински.
	Двойное гражданство, как я уже сказала, признаётся. Здесь поэтому многие граждане Грузии, то есть обладатели паспортов грузинских стремятся получить всё-таки ещё и российское гражданство. И как нам в МИДе говорили, таких довольно много, хотя официальной статистике никакой у нас нет, к сожалению. Поговорим немножечко об образовании. И для этого мы опять вернёмся к сайту «Русский век».
Во-первых,	мы знаем, что в Грузии сейчас существует порядка 60 школ с русским сектором так называемым. В Тбилиси действует всего 2 русские школы. А по стране… ну, сколько по стране, мы спросим у министры культуры Грузии. И количество русских школ с каждым годом снижается.
	Что ещё интересно, спрос на обучение на русском языке всё-таки существует в Грузии. И, в частности, портал «Русский век» нам сообщает о том, что около 35% общей численности учащихся русских школ составляют грузины, армяне, азербайджанцы, греки, курды, то есть русский язык остаётся языком межнационального общения в первую очередь.
	Напомним также, что русский язык в школах государственных в Грузии преподаётся как иностранный. И человек может выбрать, например, школу со вторым иностранным русским либо английским, либо французским. Ну, в общем, это выбор самого человека, ну, родителей скорее всего ученика.
	Согласно действующей программе для грузинских школ, обучение русскому языку начинается в третьем классе. Это, я так понимаю, что грузинские школы с русским сектором. И преподаётся по 3 часа в неделю.
	Нам наши блогеры сообщали, которые переехали жить в Батуми, в частности, что до 6 класса программа в школах с русским сектором довольно приличная, а уже после приходится нанимать репетиторов, если вы хотите своим детям дать хорошее образование. Что касается высшего образования, то здесь я опять-таки ссылаюсь на портал «Русский век». В системе высшего образования студенты могут получить на русском языке около 60 специальностей. Это немало.
	И во всех вузах есть русскоязычные факультеты или кафедры русского языка. Но здесь важно что отметить? То, что, как я говорила, все сайты государственные со всей статистикой государственной доступны только по-грузински или по-английски. Соответственно, если студентам, ученикам всё время приходится искать информацию для своих рефератов, дипломных работ, им в основном предлагается информация не на русском языке. Это статистика по-английски, в частности, или по-грузински. Ну и не только статистика. Это касается большого количества источников не на русском языке уже, и в этом смысле я, конечно, понимаю грузинских молодых людей, которые предпочитают учить скорее английский, чем русский. И все отмечают, что среди молодого населения, конечно, знание русского языка катастрофически падает.
	И я предлагаю сейчас послушать министра культуры Грузии Гурама Одишарии, который любезно согласился с нами поговорить и ответить на наши вопросы. Добрый день, господин министр.
Г.ОДИШАРИЯ	Здравствуйте.
Н.АСАДОВА	Я хотела бы спросить у вас в первую очередь о том, какие культурные программы в рамках урегулирования отношений между Россией и Грузией предполагается в ближайшее время.
