С.БРАВЕРМАНН	Да просто уплотненные квартиры.
Е.АФАНАСЬЕВА	Так мы уйдем в бесконечность.
Т.ФРЕЙДЕНССОН	Не, ну, видите, какая? Все-таки, болезненная. Я, на самом деле…
Е.АФАНАСЬЕВА	Болезненная тема, конечно.
Т.ФРЕЙДЕНССОН	Просто болезненная, да.
Е.АФАНАСЬЕВА	Абсолютно. Абсолютно. Давайте еще, может быть, звонок попробуем. 363-36-59, добрый вечер. Добрый вечер. Алло?
СЛУШАТЕЛЬ	Добрый вечер.
Е.АФАНАСЬЕВА	Как вас зовут, вы откуда?
СЛУШАТЕЛЬ	Александр, Одинцово.
Е.АФАНАСЬЕВА	Да, пожалуйста, Александр.
СЛУШАТЕЛЬ	Ну, вот, по вашей теме. Я учился в классе, где у моих одноклассников были фамилии такие – Гаас, Экстардет. И половина примерно были немцы. Вот. Но мы, дети, мы не чувствовали вот этого вот эта войны. Мы были просто нормальным, дружным коллективом.
Е.АФАНАСЬЕВА	Так в данном случае это, извините, Александр, речь идет не о детях, которые с вами учились, а о детях тех родителей, которые были виновны в жесточайших преступлениях. Вряд ли родители ваших одноклассников делали то, что делали родители героев фильма «Дети Третьего Рейха».
СЛУШАТЕЛЬ	Ну да. Но в том числе мне моя тетушка говорила «Вот с тобой учатся фашисты», а я перед ней заступался, говорил «Ну, какие же они фашисты?»
