К.КРАВИНСКИЙ	«Звуки музыки» это потрясающий просто мюзикл.
Л.ГУЛЬКО	Ну, то есть, фильмы по российскому варианту «Сорок вторая улица» не будет, отдельно снятого фильма, да?
Б.КРАСНОВ	Где?
Л.ГУЛЬКО	Здесь, у нас, фильм по российскому мюзиклу «Сорок вторая улица»?
Б.КРАСНОВ	Ну, это, наверное, можно обсуждать. Мы сейчас посмотрим, как это все пойдет.
Н.ХАУЭЙ	Дело в том, что в театре во время спектакля вы даете возможность зрителю тоже участвовать в создании всей обстановки. И при этом зритель в театре может смотреть и реагировать на то, на что он хочет. Но когда вы смотрите фильм, то вы смотрите на те детали, которые вам пожелал показать режиссер. Вот, поэтому, на самом деле театральный спектакль надо смотреть в живой обстановке.
Л.ГУЛЬКО	Во Дворце молодежи. Так и сделаем. На пейджер к нам пришло сообщение, просьба для американских гостей, речь идет о Бродвее, рассказать про интересные истории из их практики, которые произошли, может быть, а может быть не произошли, с ними на Бродвее. Подпись: Алиса.
Л.ГУЛЬКО	Ну, решайте, решайте.
Т.ПЕЛИПЕЙКО	Дело в том, что некая история пару месяцев назад произошла, но ее не решаются произнести вслух почему-то.
Н.ХАУЭЙ	Но вопрос хороший.
Л.ГУЛЬКО	Ну, что сделать, у нас такие радиослушатели радиостанции «Эхо Москвы».
