И.БУХАРОВ	А, то есть вы сделали даже вот так, с моторчиком?
С.ЦЫГАЛЬ	Да. И там медленно он вращается. Мы срезаем мясо. Очень. Невероятно.
М.ГАНАПОЛЬСКИЙ	Добрый вечер.
СЛУШАТЕЛЬ	Здравствуйте. Так это «Эхо Москвы», да?
М.ГАНАПОЛЬСКИЙ	Да. Откуда вы звоните, кто вы?
СЛУШАТЕЛЬ	Я звоню из Америки. Я бы очень хотела рассказать про ту еду, которую мы все тут едим. Можно?
М.ГАНАПОЛЬСКИЙ	Как вас зовут и из какого вы штата?
СЛУШАТЕЛЬ	Меня зовут Татьяна Венцлова… Я их Нью-Хевена, рядом с Нью-Йорком.
М.ГАНАПОЛЬСКИЙ	Расскажите, на что вы подсели, что вы едите, что вам нравится?
СЛУШАТЕЛЬ	На что я подсела? Да ни на что я не подсела! Это невозможно – на что-то тут подсесть. Две вещи: рестораны и домашняя еда. Это гораздо более интересная тема, поверьте мне. Вот что касается ресторанов. Мы очень много с мужем ездим по миру, просто очень много. Вся Европа, все на свете. Самое вкусное, что я ела в жизни – это грузинская еда, привезенная из Кутаиси самолетом. Мама, молочный поросенок… Да, я поэтому и позвонила, потому что у меня слюнки потекли, когда я вас слушала. Самое вкусное. Поверьте, я могу сравнивать.
М.ГАНАПОЛЬСКИЙ	С хрустящей корочкой, да?
СЛУШАТЕЛЬ	Да-да. Не говорите.
С.ЦЫГАЛЬ	Да, а внутри травки, да?
