С.АСЛАНЯН	В довольно приличном состоянии?
А.ИВОЧКИН	Нет, они не в приличном состоянии. Но они есть.
А.ПИКУЛЕНКО	Мы уже обсуждали этот вопрос. Что такое «в приличном состоянии»? А где взять запчасти. Где-то сейчас возьмешь карбюратор «майклаховский». Он стоит, наверное, целое состояние сейчас.
А.ИВОЧКИН	Приличное состояние танка, когда к нему подходите и узнаете. Потому что, например, в некоторых музеях стоят танки, но смотреть на них без слез просто невозможно.
С.БУНТМАН	Если какие-нибудь издания музея? Какие-нибудь каталоги, в планах если это?
А.ИВОЧКИН	К сожалению, нет.
А.ПИКУЛЕНКО	Только под грифом «Сов.секретно».
А.ИВОЧКИН	Именно в планах.
С.БУНТМАН	Ну что ж такое, какой же секрет может быть.
А.ИВОЧКИН	Каталог именно в планах, и он создается очень трудно.
С.БУНТМАН	Тогда скажите такую вещь. Я говорил н несколько минут назад, что сейчас есть масса всякой литературы по всякой технике. На ваш просвещенный взгляд, чему можно доверять из того, что сейчас продают, и везде это есть?
А.ИВОЧКИН	Это очень сложный вопрос.
С.БУНТМАН	Я понимаю, но вы сами чему доверяете? Я понимаю, что у вас масса специальной литературы. Но навскидку. Что для вас представляется изначально, и тех, кто собирает это?
А.ПИКУЛЕНКО	Книга будущих командиров.
А.ИВОЧКИН	Дело вот в чем. Вообще, идеальное, чтобы узнать что-то о технике, это руководство по эксплуатации.
А.ПИКУЛЕНКО	Я люблю эти книжки.
