Т.ФЕЛЬГЕНГАУЭР	То есть сейчас программами никто не интересуется.
Г.ГУДКОВ	А можно я просто ведущей проиллюстрирую на пальцах.
К.ЧЕРЕМИСОВ	Вопрос в том, что у нас уже программа есть, Геннадий Владимирович будет говорить по своему списку, который он привез.
Г.ГУДКОВ	Да нет, я не про это хотел сказать.
К.ЧЕРЕМИСОВ	По сбору подписей, за кого и как.
Г.ГУДКОВ	Можно я скажу буквально два слова. Я 12 лет в большой политике, «Яблоко» — 20, я трижды избирался по Подмосковью депутатом ГД. А вот кто получит поддержку. Корнеева Н. А. я ее знаю, хорошая женщина от «Патриотов России», но она также относится к Московской области, наверное, к другим многим регионам. Щипанов, «Партия пенсионеров», вы слышали когда-нибудь эту фамилию? «Гражданская сила» Огиевская, за которую собирает администрация подписи. Федулов, «Национальная безопасность».
Т.ДЗЯДКО	Вы этот список читали.
Г.ГУДКОВ	Да. Вот они соберут подписи. Вы можете объяснить, что Гудков, который в области известен, имеет рейтинг, электоральную поддержку, трижды избирался депутатом…
Т.ДЗЯДКО	Мы можем на это место посадить госпожу Огиевскую, и она все ровно то же самое скажет.
Г.ГУДКОВ	Подождите, Огиевская была трижды избрана депутатом по Подмосковью?
Т.ДЗЯДКО	Не была, тем не менее, она будет в равной степени убеждена, что она…
Г.ГУДКОВ	Вы считаете, что равнозначность Огиевской при всем уважении к ней…
