В.ШАХИДЖАНЯН	Озарение.
Т.ПУШКИНА	Когда люди остаются вместе. Помните, как «если к другому уходите …». Когда люди остаются вместе, это не всегда счастливый конец.
Е.ВЕСЕЛЬНИЦКАЯ	Вы правы, Татьяна.
Т.ПУШКИНА	Почему? Это не всегда счастливый конец.
Е.ВЕСЕЛЬНИЦКАЯ	Просто браво.
Т.ПУШКИНА	Это не самоцель быть вместе. Затолкал себе. Паучина там сидит. Я подумала. В одно прекрасное утро. Оно действительно было прекрасное. Что-то я там не знаю, что делал, просто пошла гулять с собакой, ну, как обычно. Не знаю, что такое. Я вдруг подумала. А если бы этот человек сейчас был со мной рядом. Мать моя женщина. С какими-то своими тоже прибабахами. Понимаете, в чем дело. Нужно уметь быть настолько честным с собой. Вот для того, чтобы…
Ю.МОСИЕНКО	Хорошо, честной с самой собой. Извините, пожалуйста, что тема, наверное, для Вас очень, очень глубокая и личная, но в тот, кого Вы силой мысли притягиваете каждый раз в оптовых магазинах.
Т.ПУШКИНА	Да. Ну?
Ю.МОСИЕНКО	А если бы Вы были вместе?
Т.ПУШКИНА	С кем?
Ю.МОСИЕНКО	Вам не приходила мысль в голову, что было бы все тоже очень плохо? Ведь, наверняка же, нет. Наоборот, вы думали о том, что, а вот это было бы замечательно.
Т.ПУШКИНА	А Вы знаете, что. Приходила. И приходит, и мы, более того…
Ю.МОСИЕНКО	Мы уже это обсуждали неоднократно.
