Н.НИКИТЕНКО	Ну, она не доверяла никому.
А.ВЕНЕДИКТОВ	Она такая у нас девушка.
	Вот мне уже принесли, кто все-таки на «Снежную королеву» вырулил. «Снежная королева», «Снежная королева», но вы подсказали, все-таки люди вырулили!
Что-то	сегодня Петербург играет очень активно, что-то они так вздрогнули, любители «АСТа».
	Кстати, «наеду» на кого? – Не знаю, на кого, на вас, наверное, наеду.
	Раньше на Невском, в магазине был огромный зал издательства «АСТ». Он сейчас в Доме книги растворен там.
О.БАРТЕНЕВ	Ну, это все-таки позиция самого Дома книги.
А.ВЕНЕДИКТОВ	Снести его, к чертовой матери. Напротив Казанского собора, я имею в виду.
О.БАРТЕНЕВ	Но замечательно хотя бы то, что сам Дом книги удалось установить на старом месте и то, что общее давление по сохранению культуры смогло победить какую-то
бизнес-экономическую	выгоду.
К.ЗАЛЕССКИЙ	По крайней мере, я очень рад, что Дом книги возрожден.
