С.ШЕВАРДНАДЗЕ	Вы действительно считаете, что ВТО такой гарант соблюдения правил и законов?
М.КВАША	ВТО не гарант, но ВТО механизм, который может быть использован, в том числе и для того чтобы вводить в рамки национальные правительства. Чтобы ограничивать их в произволе в экономической политике. Я дам отличный пример. Только сначала задам вопрос Алексею. Алексей, сколько у нас после присоединения к ВТО останется таможенных ставок?
А.ПОРТАНСКИЙ	Останется, они все пока остаются. Они меняются.
М.КВАША	Ну сколько их будет?
А.ПОРТАНСКИЙ	У нас сейчас в импортном таможенном тарифе 12 тысяч позиций. По всем вели переговоры.
М.КВАША	Вот сколько будет уровней таможенных ставок?
А.ПОРТАНСКИЙ	Они же все остаются.
М.КВАША	Видите, вы не знаете ответа. Знаете, сколько таможенных ставок осталось в Грузии? 3,0,5,12.
А.ПОРТАНСКИЙ	Это я знаю.
М.КВАША	Средневзвешенный тариф…
А.ПОРТАНСКИЙ	Это не значит, что я не знаю ответа, я говорю, что они все остаются. Они меняются. Да, в Грузии их осталось гораздо меньше.
М.КВАША	Правильно. Они унифицировали. Это значит, что грузинский импортер почти все будет ввозить по ставке 0 или 5%. Только стройматериалы или еще что-то по 12. А у нашего несколько десятков разных процентных ставок.
А.ПОРТАНСКИЙ	Хотя унификация у нас идет.
