К.ЛАРИНА	Она есть, да?
В.ВОГМАН	Она есть. Но написана она действительно по-другому.
А.ГЛАДИЛИН	А у меня нету.
В.ВОГМАН	Нету, да?
А.ГЛАДИЛИН	Да, у меня, вот в том варианте…
В.ВОГМАН	Значит, они отличаются…
А.ГЛАДИЛИН	… говорю, у меня есть доказательства, есть человек… я беседовал со многими людьми, с которыми Вася вел переговоры просто вот о том, что передать рукопись в другое издательство, понимаешь?
В.ВОГМАН	Понятно.
А.ГЛАДИЛИН	Понимаешь, он, так сказать… Ведь дело в том, что 15 января, 15 января — это же был…это была катастрофа. Ведь у Васи… вот когда я говорил, что он чувствовал, что он, так сказать…
В.ВОГМАН	Ну, это…
А.ГЛАДИЛИН	Ну, в общем…
В.ВОГМАН	… очень точное наблюдение…
А.ГЛАДИЛИН	… наверно, не будем поднимать. Но ум-то, тем не менее, планировал жизнь на 20 лет вперед. У него было четко… у него где-то в конце января была встреча с другим издателем, где все это должно было решиться. Он же не знал, садясь в машину 15 января, что через 5 минут все…
