Ответ	Рассматривается.
Вопрос	"Телеспорт"?
Вопрос	Какую сумму рассчитываете получить?
Вопрос	На какую сумму рассчитывает лига?
Вопрос	Какие сложности в переговорах с "Матч ТВ"?
Вопрос	Что касается лиги. Как вы рассматриваете ситуацию с " Амкаром " и " Тосно "? Эти команды могут закончить свое существование после текущего сезона.
Вопрос	Какие ключевые критерии?
Вопрос	Не боитесь, что после этого просто не будет клубов, которые при выходе в РФПЛ могут соответствовать этим критериям?
Вопрос	И какой главный вывод из этого документа?
Вопрос	Когда вы начали делать этот документ, шла речь о том, что вы будете заставлять клубы раскрывать бюджет. Как идет эта работа?
Вопрос	А кто уже раскрыл?
Вопрос	Как клубы отреагировали на это?
Вопрос	Перейдем к вопросам безопасности. Какая работа ведется, что уже сделано?
Вопрос	Что скажете о том, что произошло в Бильбао на выездном матче "Спартака" в рамках Лиги Европы?
Вопрос	Как идет работа с ребрендингом логотипа РФПЛ?
Вопрос	Это будет кардинальное изменение?
Вопрос	Хорошо. Вот, например, матчи в Казани. Вокруг стадиона нет никаких развлечений, на стадионе тоже нет. А переходишь на арену хоккейного "Ак Барса", а там множество разных ресторанов, развлечений…
Вопрос	Вопрос об изменении количества участников в РФПЛ не актуален?
Вопрос	Относительно Суперкубка. Были разговоры, что он может проводиться в Катаре.
Вопрос	Рассматривается только Катар?
Вопрос	Вы можете назвать свое самое главное достижение на посту президента РФПЛ?
