darkomen	"Лойс", серьёзно?
pardonche	Лойс за коммент😏
	У автора видимо вся жизнь йгра в войнов🤣
kaktakwottak	Спорим что ей не больше 17-19
kotBtankax	*ейной ........... 17-19см))
kaktakwottak	Пошляк, как ты мог!)
kotBtankax	Как? Так? Да вот так!))
kaktakwottak	Ещё и дразнится,подлец! Мама!!!
kotBtankax	Ну фсе, писдюк! Вечером за тобой придёт Фредди!
kaktakwottak	Да он не настоящий, в цвете. Настоящий чёрно-белый был
kotBtankax	Для кого может и был, а к кому-то сегодня заглянет!
kaktakwottak	Мама!!! Меня тут обижают и пугают
