Erihont	Было, Вопрос и почему же у них не получается 7 см?!
nochamoona	Я пристала картинку из поста, так что ответ из оригинального поста не одинок и уж точно не фейк
Deathsmol	А "точно не фейк" - потому что джентльмены верят друг другу на слово?)
nochamoona	Меня несколько удивляет, что люди не могут в программу начальных классов, а то и детского сада
Deathsmol	Ничего удивительного. Там же школа для галочки была закончена. И вообще "они не на экзамене". Да и представь - их жизнь наполнена чудесами и настоящей магией
barsik2005	Конечно наполнена. Ты ещё скажи, что в темноте нечего бояться.
nochamoona	Стоит бояться только мелкого шрифта в договоре, сливающегося в темноту.
barsik2005	"Не бойся темноты"?
	Ты что, издеваешься?
	Конечно, ты должен был бояться!
	Ты прекрасно знаешь, что кроется за ней.
strelezzz	Раслабся, соседа из 15й уже посадили, пару- тройку лет он не будет еще шариться у темной подворотни.
