JoseEduardo	Диалог мамы с сыном:
	- мама, а что такое минет?
	- ну это когда писю в рот берут...
	Рёв папы из соседней комнаты:"Не берут, а дают! Мужика растим, ёб твою мать!"
FaeFaeFae	Когда я в детстве задала такой вопрос папе, он сначала поперхнулся, а потом сказал "Вырастешь - сама всё узнаешь."
Tylenyushka	Вот всегда бесил такой ответ. А где ребёнок должен сам всё узнать?
PROMeteus1816	А как бы вы своим детям ответили?
Tylenyushka	В зависимости от возраста ребёнка. Если ребёнок маленький, можно рассказать примерно так же, как про секс, что это то, чем занимаются взрослые люди, которые любят друг друга. Если более взрослый ребёнок, это может быть удобным моментом, чтобы поговорить о том, что такое секс. А если этот разговор уже состоялся, дополнить его конкретным действием. Важно проговорить в том числе, что это интимное действие, которым занимаются взрослые люди, и что ребёнок этим заниматься не должен ни с другими детьми, ни со взрослыми.
Regi86x	По моему опыту, детям обычно недостаточно какого-то размытого и совсем непонятного описания. Они хотят подробностей. Ну и в вашем объяснения есть логическая ошибка. Ребенок как нибудь спросит у кого-нибудь и узнает, что дедушка тоже любит свою взрослую дочь.
Tylenyushka	Ну у меня пока нет детей, к их появлению подготовлюсь получше.
rimpa	Не работает это))
