SloznijLogin	Работал в небольшой фирме, на производстве.
	Рабочую одежду не выдавали, ходи в чём хочешь. Естественно, носили всякие обноски, чего не жалко. Утром пришёл пораньше, до открытия, стою, курю. Подходит ещё один парень, молодой, недавно работать начал. Говорит, мол, закрыто? Я говорю, да, закрыто ещё.
	- И раздевалка закрыта?
	- Да.
	- А где ты переоделся?
	А я, блять, ещё не переодевался.
WildCreate	Пошел на собеседование, надел свои самые лучшие рубашку и брюки, побрился. Собеседование прошел удачно, начальник только в конце сказал - ну, отлично, приходи в среду и это.. оденься только по-приличнее.
	Работаю уже 2 года тут.
Pashke1	И что ты одел на работу? Или пришлось покупать одежду ещё лучше, чем есть?)
WildCreate	На первое время купил, потом забил. Федеральная организация, дресскод, костюмчики, все дела. А пришел я туда простым инженером-айтишником, в костюме в серверной особо не полазить.
WildCreate	Ля, в может он имел в виду что мне стоит одеться как айтишник? Я приперся, блят, как банкир.
	Об этом я не думал.
Kotota	Парадно выходной растянутый свитер с оленями и спутанная борода, такой дресс код?
WildCreate	Вообще, со временем я нашел выход - поло. Легко можно найти "деловое" поло, оно и выглядит строго и удобно в нем как в футболке. Поло, брюки и сланцы)
