vad412	Г*вно, з*лупа, п*нис, х*р, давалка, х*й, бл*дина,
	Головка, шл*ха, ж*па, чл*н, ебл*н, п*тух, м*дила,
	Рукоблуд, ссан*на, очко, бл*дун, вагина,
	С*ка, ебл*нище, вл*галище, п*рдун, дроч*ла
	П*дор, п*зда, туз, малафья, гом*к, м*дила, пилотка, м*нда,
	Ан*с, ваг*на, п*тана, п*дрила, ш*лава, х*ила, мошонка, елда.
	Раунд!
Deha4444	Петровский загиб
	Просвещайтесь.
SeverinPetrov	их штуки 3 было загибов то.
Deha4444	Какой первый попался, такой и скинул. Там в посте их шесть разных) Простое перечисление унылых матюгов - это всё-таки чертовски скучно.
SeverinPetrov	соглашусь. Мат должен быть уместен,он как средство художественной выразительности ни чем не заменим.
