Mechock	Крутейшие дядьки.
	Уважуха огнеборцам, суровая работа.
	Друг работает в МЧС, начинал с пожарного, часто тушил заводские ангары. Очень страшно. И высоко. И зима. И гололед. А ты на крыше, и она скользкая. А вниз 20 метров...
CrioFox	Недавно был пост, где ТС, а затем десятки комментаторов, среди которых был полицейский (российский), все вместе подтвердили, что часто пожарные при тушении пожара, воруют вещи из домов. Не все и не 100%, но далеко не редкость.
gorbik56	Хомячки диванные. Где то, что то слышали, кто-то им рассказывал..
	Сейчас у всех камеры, менты сами на пожары вызываются в обязательном порядке, им пожарюгу нагнуть, нет проблем, это не на своих возбуждаться. Не говорю, что такого нет вообще, в семье не без уродов, но, это скорее исключение из правил.
	Парни себе гоупрохи на каски ставят, чтобы в случае таких обвинений в мародёрстве, было чем крыть.
roseboss	а им разве камеры не выдают??
gorbik56	Нет.
roseboss	Охуеть. МЧС могли бы и "разориться" на камеры.
gorbik56	Камеры, в снаряге пожарного- не предусмотрены. С другой стороны, гоупрохи на каске отрываются на раз, когда пацаны, к примеру подвал будут тушить- в дыму ж не видно ничего, на ощупь прёшь.
