Medicolegist	Если кто-то забыл
FreiMD	Этот долбоёб ещё и евро по 90 купил, потому что "к концу лета 150 будет ")))
Innovatic	а почему долбаеб то?
FrontSideBus	потому что мнение своё имеет, очевидно же. разве может быть нормальным человеком тот, кому не нравится глубокое очко, в которое превратил нашу страну старый дед? я вот совершенно точно ненормальный, мне госдеп за это и платит огромные деньги
scobacko	Ах, да, желание того, что бы 95% соотечественников настал пиздец - это просто СВОЁ мнение, и называть его долбоёбом могут только сторониники путина.
	Л-Логика.
iamgood	Ну пиздец того или иного масштаба неизбежен: мелкие города вымирают, все ломятся в Питер и Москву, а там не сказать что становится больше рабочих мест. Опять же отток капитала не останавливается. Как мне кажется, все это выльется во что-то хуевое. Лучше уж не оттягивать)
scobacko	Как Вам кажется? когда кажется надо креститься.
	Ваше рассуждение сводится к тому, что что-то может случится, а может и не случится. Не понимаю причём тут радостный высер этого наркомана.
	И да, когда Вы поймёте, что Вам пиздец - вы по-любому захотите, что бы этот момент настал как можно позже.
iamgood	А если я не хочу креститься? Кто решил, что так надо? А если я правоверный мусульманин?
	Пословица дебильная...как мне кажется
