difrakciya	лучшая форма благодарности от начальства - денежная.
	Когда ты перестаешь клевать на эти все "кофе-фрукты-печенюшки-настольный хоккей" в обмен на ненормированный рабочий день - ты становишься внезапно нелояльным.
	Когда ты отказываешься "войти в положение" - ты не лоялен.
	что угодно, но не просто соблюдение договоренностей, которые были на собесе.
	проходил через это неоднократно.
	попробую объяснить: в нынешней модели поведения практически любого сектора, даже намек на то, что для тебя работа это конечно 8 часов в сутках, но отнюдь не цель твоей жизни - это оскорбление.
Levvishe	Насчёт печенюшек. Если смотреть "10тыс+ печенье" против "100 без печенья", то выбор очевиден. А при прочих равных - кофе, печеньки говорят о том, что возможно работодатель пытается сделать пребывания в офисе приятнее.
BigBadaBooom	10к и печенье конечно, что тут думать. Приехал, попил чаю с печеньем и уехал, 5/2 норм же
mordotron	да ты на проезд больше потратишь
BigBadaBooom	Тогда ещё плюс проездной и по рукам
mordotron	завтра к 5 утра жду в офисе на Хуйдоберёшьсядорожной улице
BigBadaBooom	А дом то какой?
mordotron	978 корпус ЗЮ литера %№
