Yaspersson	У Сабзиро мышцы,
	У тебя - жирок
	Жаль, что подкачаться
	К лету ты не смог. :)
Lukoshechko	Ну ты и токсик, однако.
expositor	Так по делу же, косплей - это не только одежда и амуниция, но и соответствующая форма персонажу.
Lukoshechko	Ну я бы придирался, если человек был совсем колобок. А тут просто не подсушился и я бы не сказал, что прям в глаза бросается. В остальном отличная работа. Выглядит, как токсичная доёбка.
expositor	Бросается. Вот пример качественного косплея по всем пунктам.
Lukoshechko	Этот проигрывает в детализации костюма, ведь косплей это не только атлетичное тело, но и общая сборка образа. Справедливо?
expositor	Вообще-то нет. В посте парень больше похож не на саб-зиро, а на героя из игры типа доты (из-за лишней амуниции). А тут ближе к канону.
Lukoshechko	Это лишь твоё мнение.
expositor	Сильный аргумент.
Lukoshechko	Ну это факт собственно. Как и мои слова это всего лишь "моё мнение". Пусть и ближе к объективной реальности.
Bumble27	"мое мнение ближе к объективной реальности, чем твое"
	это победа
