AntonRezultat	Люди делятся на три типа:
	1. Воровать не будут ни при каких условиях.
	2. Воровать будут всегда, сколько ему ни плати.
	3. Будут воровать, если для этого благоприятные условия.
Abrogastes	Люди делятся на два типа:
	Те кто делит других людей на два типа.
	Те кто НЕ делит людей на два типа.
FatMowgli	Люди делятся на две категории:
	Одни сидят на трубах, а другим нужны деньги. На трубе сидишь, ты.
Abrogastes	Медленно положи запятую на пол и отойди от нее на 3 метра.
FatMowgli	Точно, ТЫ это не обращение.
	Блин, я русский учил до 7го класса и уже 30 лет в Израиле живу. Может можно на это скидку сделать?
Abrogastes	Можно Машку за ляшку.))
Erum	- Можно вопрос?
	- Можно Машку за ляшку. Спрашивай.
	- За что сидите?
	- Нельзя Машку за ляшку :(
