grrafter	Для ЛЛ
	Древесная аброния (лат. Abronia graminea) — ящерица семейства веретеницевых. Очень редкий исчезающий вид.
	Описание
	Длина тела до 10 см, хвоста до 16 см. Брюшных чешуй 12 рядов. Окраска сверху от изумрудно-зелёной до буроватой, брюшная сторона кремово-белая, вокруг глаз желтое кольцо.
	Ареал и места обитания
	Эндемик Мексики, где распространена в центральных районах штата Веракрус и восточных штата Пуэбла, а также на прилегающей территории севера штата Оахака. Общая площадь ареала составляет всего около 11 500 км². Населяет горные сосново-дубовые и влажные леса на высотах от 1 350 до 2 743 м над уровнем моря. Обитает в кронах деревьев.
AUNasNaKubani	Ох, лень читать.
Fregist	лень читать
Rammirez	Впдл чтт
Butterscotch	Мнг бкв
Sprutnet	ы
EU7SV	Ь
