sotona19	То что должно было пару месяцев работать, уже намного больше накаталось
hirurg.thegreat	Марсоход "Оппортьюнити" при расчетном сроке службы в три месяца - почти 15 лет проработал.
Boldorat	И до сих пор бы работал, наверное, если бы его песком не замело (
hirurg.thegreat	Да, ещё поработал бы, хоть и не вся научная аппаратура уже в строю была. Но всё равно гигантский опыт он наработал. Был период, когда на Марсе одновременно аппараты трех поколений работали, да. Круто.
Radon17	Про какие аппараты речь? Про марсоходы? Их было всего 4 штуки - Sojourner, близнецы Spirit и Opportunity, Curiosity. Это действительно три поколения. Но Sojourner прекратил работать в 1998, ещё до запуска Спирита.
	Сейчас к Марсу летит Perseverance. Посадка в феврале будет.
hirurg.thegreat	Перетранслировал по-памяти инфу от Зелёного Кота (популяризатор космических тем был такой весьма известный), фактчекинг сам не проводил, моя вина, если наврал.
	UPD: не три поколения, а три аппарата одновременно, наверное в этом моменте я и накосячил.
FortySeventh	Фактчекинг.)) А диксакинг не проводил?
habitr	Так точно сорок седьмой
AndrewFe	Это не порядковый номер.
	Это - его личный счётчик на момент регистрации на пикабу.
