123ZewS321	Успокоиться надо
nehtez	Верный совет. Ежели совесть чиста, то чего нервничать? Зачем что-то предпринимать?
	Касательно вопроса: "как узнали?" - ну так мы живём в мире, где понятие приватности весьма и весьма условно. Также, не забываем, что имея нужные связи, можно узнать очень многое... При желании...
Agroman	Насколько нужно быть хомяком, чтобы спокойно это принимать? Разве такие проявления кумовства с каких-то пор стали нормой? Закон есть закон. А такую херню, как утечка данных потенциально заинтересованным людям нужно пресекать. У меня, к примеру, совесть чиста, в рамках официального запроса, соответствующие инстанции могут получать обо мне что угодно, но я так же как и ТС не потерплю, если сосед, которому я не дал в долг, или бывшая жена, в разговоре внезапно начнёт оперировать цифрами с моих счетов.
nehtez	Я живу в другой стране. И в этой стране, это не просто норма, а особенность менталитета.
Agroman	Менталитет - удобное оправдание (в некоторых случаях и для себя самого), чтобы конкретный человек терпел, потому что "все так делают, да ладно ты, чего ожидал-то, сам-то небось так же бы Наташку прошерстил, если б мог".
nehtez	А вы в "теме", как я погляжу
Agroman	примерно, как Вы про "законы Создателя".
	почитал и не сдержался 😅
nehtez	разве у Создателя есть Законы?
Agroman	цитирую
	не провоцируйте меня, пожалуйста😅
