topBat	Он разве не австралиец?
koalex	Чувак недавно переехал в Аризону.
poglyferal3	Чего-то я не нахожу такой организации HLS, что то там не так.
	И если он после своих речей действительно поехал в штаты - он не такой умный, как казался.
vedeligox	Он вам умным казался?!
Bahamamam	Казался. Наличие нацистических и националистических наклонностей не делает человека тупым. Может бесконечно спорить насчёт его деятельности, но человек очень хорошо образован, эрудирован, умеет оперировать этими знаниями, интересуется многими вещами в мире, зачастую имеет вполне разумное и логичное мнение, весьма находчив и красноречив. К сожалению примеров данных качеств скинуть не могу ввиду того, что в ютубах была массовая чистка его роликов.
vedeligox	Вообще то делает. Много мозгов сейчас не надо для того чтобы знать, что национальные различия сугубо культурные.
	Да для вас походу и двач будет прибежищем умных людей.
Bahamamam	Не скажу, что там сборище гениев, но иных недалёких комментаторов пикабу превосходят умом точно.
	Обожаю людей, которые считают идиотами всех, кто мыслит не так, как они.
vedeligox	Двач от этого лучше становится? Или пикабу хуже?
	Ну вы может свои фетиши не будете не к месту пихать?
