MadEnot	Воруют одни, сидят другие, страдают третьи)
madison666	Лешу снабжает персонаж, который уклонялся от налогов и пошлин в россии а также воровал у учредителей. Он же передает ему деньги от других спонсоров
	Ну и другой персонаж который украл у государства нефтяную компанию и воровал доходы от нефти
GmanKaka	пруфы?
madison666	Хуюфы блять. Чичваркин сам в открытую это говорит 47:45
	Но вам хоть ссы в глаза
	Вы еще и соболь поддержите котоая сама лично сняла на видео как она в квартиру проникла
	А потом рассказывает что снаружи стояла
GoomBum	А кого тогда поддерживать? Давай умник кандидатов в студию, я думаю, что в наше время все руководствуются простым принципом враг моего врага мой друг. Я что то у Навального майбаха не видел, или например дворца за охулиарды!
Chepchanin	Так он и до власти ещё не добрался.
	Здесь уместен отрывок из Брат2 с таксистом :"голосуешь за худого, глядь, через год сидит кабан –рожа что жопа. Ёщё меня учит как жить,гад.
