Andriyko85	В жизни каждого человека есть моменты, когда любая бумажка становится очень ценной
urlaub	Что-то мне подсказывает, что автор этого ценного высказывания - хохол. Так, Андрийко?
Egorr24	Что-то мне подсказывает, что автор этого коммента решил доебаться
urlaub	Да? А Андрийко высказал познания в спросе на партитуры позапрошлого века, полагаю?
Egorr24	Да мне похуй, кто какие познания высказал
urlaub	И это тоже... Выдает знатока старинных партитур, прямо сквозит.
Egorr24	Парниша, я не заявлял, что я знаток в старинных партитурах или в чём-либо ещё
urlaub	Я полагаю, 24 в твоем нике это возраст? Так что не я парниша, а ты мальчишка писюкавый.
	Собственно, что это я...
	Хохол вякнул и слился, а ты тут вцепился, как клещ ушной в кота.
Egorr24	Да, 24 это возраст на момент регистрации
	Я в тебя не цеплялся, у тебя просто пригорело, что такому важному чебуреку как ты кто-то ответил в твоей манере
urlaub	Итого 28... И еще хохол. И еще борец за справедливость. Диагноз.
	У кого-кого пригорело? Умеете вы с больной головы...
Egorr24	Все твои диагнозы-плод твоего воспалённого мозга
	И очень по взрослому сбежать в игнор)))))
