aCCe55	В коллекционке есть все - овердохуя брелков, игрушек, карт, книжек, музыки...
	Чего там нет? - диска с игрой!
	Наверное я слишком стар, но для меня это все еще выглядит как анекдот)
	А если нет возможности 60 гигов выкачивать?))
GreamRiper	60 гигов это 7 двухслойных односторонних DVD дисков (блюрей не берем из-за отсутствия этих приводов в компьютерах населения). Их нужно еще в коробках для хранения поставить, так что может статься в этот бокс диски с коробками для хранения просто не влезут.
ZdobnikovOB	Или 4 двусторонних двухслойных)) по 2 в двойной двдбокс. Итого два бокса вместо одного )
	З.Ы. Вообще флеху на 64 кинули бы туда да и всё, так же тематически оформленную. Кому надо игру оттуда сольют, кому надо - просто будут юзать.
IAmNotRacoon	А вот, кстати - да. Флешка, стилизованная под биочип в соответствующей узнаваемой мини-коробочке, была бы идеальным вариантом носителя.
	Но тогда на флешке была бы только одна, самая первая версия, без ДЛС и патчей.
	Как тогда выкручиваться? Как с виндоус - делать утилиту, которая на флешку записывает текущую версию для установки?
ZdobnikovOB	Все точно так же как и с дисками. Именно начальный дистр там. Всегда так было.
IAmNotRacoon	Тоже верно
