grobyd	Что это за поебень? Вырежьте, как раковую опухоль.
sinn3r	Это подборка анекдотов с анекдот, прости господи, ру. Мне кажется, автор их публикует исключительно, как щас модно говорить, кринжу для.
	К слову, вызываю поможника младшего черпальщика пояснительной бригады на последний анекдот, что-то я не догоняю.
Nemolodoj	- Тогда просто передерни
sinn3r	Я просил помощника младшего черпальщика, а не самого младшего черпальщика.
Nemolodoj	Это свободная страна - комментировать может кто угодно.
	И самый младший черпальщик может отвечать на комментарии той субстанции, которую он черпает.
sinn3r	Не, мне просто неудобно как-то, такого человека по такому пустяку отвлекать. Субстанции же этой я вычерпал побольше вашего, к моему вящему сожалению.
Nemolodoj	А зачем ты сам стал ею?
sinn3r	С моей точки зрения все немного наоборот. В смысле, я ее черпаю исключительно из постов Свежего.
Nemolodoj	Я могу понять человека, который читает определенную ленту, заранее зная, что в этой ленте дохрена дерьма. Понимаю, если он радуется, находя среди дерьма что-то хорошее, изысканное... "Навозну кучу разрывая, петух нашел жемчужное зерно..." За этим он и ковыряется в дерьме, чтобы в числе первых насладиться хорошим креативом, который вытащил из этой кучи.
	Но вызывают удивление персонажи, которые комментируют то, что считают дерьмом. Ну, - дерьмо же для тебя! Зачем ты его пережевываешь?!
