xN0D	Задача разложить воду или получить водород? Если последнее то алюминий и вода + немного ртути. Сделать на поверхности алюминия каплю из ртути, затем повредить под этой каплей оксидный слой. Затем поместить это все в воду. Алюминий начнет активно окисляться в воде т.к. из за ртути не будет образовываться защитная оксидная пленка и будет выделятся водород.
lex1998	За ртуть вас сейчас распнут на месте ... это харам, почище обедненного урана.
	Успешно заменяли ртуть медным купоросом + поваренная соль.
pikabu.bu	Я в детстве грелку делал, купорос, соль, фольга и зачем-то опилки.
lex1998	Опилки - именно затем )
	ЗЫ. Алюминиевые, надеюсь?
	ЗЗЫ. Хотя нам просто нарубленной проволоки хватало, пилить лень было
pikabu.bu	Нет, использовалась алюминиевая фольга. А зачем опилки сейчас прочёл: "Непосредственно в ходе реакций опилки не участвуют, однако роль их в «работе» грелки достаточно важна:
	впитав воду, древесина замедляет реакцию;
	благодаря низкой теплопроводности они аккумулируют тепло.
	Благодаря содержанию опилок грелка сохраняет свою работоспособность до двух часов."
lex1998	А, деревянные опилки .... Даже в голову не пришло )
