loppiasl	Мне в таких случаях всегда интересно: а сколько у моего компа на это уйдет времени. Но как проверить - хз.
wapskill	скачай готовый проект и поставь на рендер
Alexmelyon	Где взять проект? Как раз потестирую мою 3070
Dvaa1	моей 3070 хватило на два месяца игры в фар край 5 :) сдохла
Zamix	За температурой надо следить
Dvaa1	конечно надо, вот как стала до 92 греться так и отнес в сц
Zamix	Это странно, термопасты пожалели, куллер сдох, или Биос чудит. Я своей видяхе спец вентилятор поставил на притоку. Хорошо стало
Dvaa1	я думаю либо термпоста или термопрокладки. если кулеры начинают херачить на 70% то температура падает до 65. хотя у меня 65 держало раньше при 47% работы кулеров
ramond	Подпорка была? Если нет, то перекос СО
Dvaa1	неа, не было
ramond	Если карта на руках, попробуй дальний край немного приподнять и посмотмотреть разгицу температур
