russiaengenering	Давно уже всем здравомыслящим понятно, что ЛДПР и КПРФ это филиалы Едра, для создания иллюзий наличия оппозиции и выбора на голосованиях
RksW	Я это понимал и понимаю, но всё равно какая-то надежда была...
whoim	Нет ни малейшей надежды. Тьма и безнадёга.
RksW	Пока есть руки-ноги, и на плечах голова...ну вы поняли :)
	а если нет, слушайте песню Тараканы-Самый счастливый человек
whoim	Я про политическую обстановку )
	Или цирк, хз как объективнее)
RksW	Ну, на самом деле, не совсем так. Есть много грамотных людей, которые продолжают бороться, в том числе и в партиях. Просто их не видно и не слышно, сами понимаете - на ТВ их не зовут...
	Плюйте в рожу тому, кто говорит, что "замены нет" - нас 150 миллионов, полно людей и с опытом управления, и с желанием. Просто всем заткнули рты.
whoim	Есть точно, я знаю. Проблема именно в том, что не дают дороги.
RksW	Вот с этим и стоит бороться
