Betterkillmenow	Как это - уголовное дело заводить не стали? Есть же спецшколы для малолетних преступников
Gyalar	За тяжкий и средний вред здоровью уголовная ответственность с 14 лет. А тут уже как медики классифицируют степень тяжести вреда.
Boomer777	Если трудоспособность потеряна на 21 и более дней - это уже вред здоровью средней тяжести, так что уголовное дело должны были завести.
TheKingOfNight	+++++++.
	Да и фраза:
	может лишь означать доследственную проверку. (по результатам которой всё как положено возбудят)
saddin	Начальник следствия может продлить до 30 суток
hohomatch	и написать отказной материал после
saddin	Прокуратура все равно на доп проверку вернёт
LosinKyilos	по идее несовершеннолетними занимается СК РФ
saddin	При совершении тяжкого преступления в отношении несовершеннолетнего да, но факт ещё не получил квалификацию
