she555	не только.
	Советское правительство занималось не только идеологией.
	Советское правительство требовало от всех союзных республик полноценного участия в жизни Страны
	в том числе и на эстраде.
	Советская эстрада требовала присутствия на сцене исполнителей от всех союзных республик.
	(навскидку, можно конечно уточнить в Википедии, но пишу по памяти)
	Белоруссия
	Песняры, Верасы, Сябры
	Молдавия
	Биешу, Суручану, Чепрага
	Азербайджан
	ПоладБюльБюль Оглы, Магомаев
	Эстония
	Анне Вески, Яак Иоала, Тынис Мяги
	Латвия
	Вайкуле, Зодиак, Паулс (отдельное явление)
	Казахстан
	Рымбаева
	Грузия
	Гвердцители, Брегвадзе, Кикабидзе
	Узбекистан
	ансамбль Ялла
	Украина
	Ротару, Богатиков, Гнатюк
	и многие ансамбли и ВИА из союзных республик
	От России же и страницы не хватит всех перечислить
	поэтому отбор был жёсткий, но это позволяло отбирать лучших, с лучшим репертуаром, с минимумом проходных песен.
	.поэтому песни тех лет и сейчас актуальны, и сейчас качественны.
	в отличие от современных свободно-рыночных поделий.
KnyazChernigov	лови)
MrFremen	во, теперь полный набор
us9000	Я вам больше скажу, социализм тоже зло. Тут теорема эскобара.
KnyazChernigov	везде свои минусы, просто при сравнительном анализе, в капитализме их в разы больше
