Aran	Опять настало время охуительных историй, которые слеплены в онлайн редакторе
Nokery	Блин тут вот бабушка на двое сказала. Вчера я совершенно не зная создал старый мем. Написал девушке "обнимаю. Соплю тебе в затылок" и радостный какой я смешной поспешил поделиться этим здесь) так меня тоже заминусили. Мол сам склепал в редакторе, древний мем себе придумал. А мне 39 лет, я пол жизни в тундре провожу и искренне считал что я создал))) печаль
VicZhou	У знакомого на работе один алконавт ржачную объяснительную написал, тот сфоткал и тут выложил. Заминусили - втолковали знакомому, что он сам этот фейк придумал.
	Как-то спросила у одного из модеров, мол, почему пост утопили, а аналогичный такой же заплюсовали? Он дал исчерпывающий ответ: "А хуй их разберет..."
kort	Идет девочка с дедушкой мимо реки видят плывет говно,девочка спрашивает:
	Девочка: "Деда а откуда говно?".
	Дед говорит: "Было это давно,жила в этих местах
	принцесса и принц,пришла война и принц поехал на войну. На войне его
	убили,принцесса узнала об этом и утопилась в этой реке.".
	Девочка: "Дедушка а откуда говно?".
	Дед: " А я ебу? Насрал кто-то!"
