nirsliver	Пиздец работа...
	Я тут в -20 воду в бутылки набирал, и немного попало на руку...так я от боли чуть не кончился.
	А тут -50, да еще и не один час тушения.
	Мужик.
LuckyPipka	Ну я честно хз, че тут ажиотаж такой, для нас зимой такое это обычная рутина. Тут он хоть в боевке, а у меня водила ( с штабного автомобиля) в прошлый пожар уши отморозил тк сразу пошел помогать магистральную линию разворачивать и гидрант откапывать, а он в обычной зимней форме шапка хоть и ушанка но по началу тепло было ему ( на улице было -37) а в работе и не заметил как уши отморозил, в машину вернулся а уши раздулись, вчера смотрим кожа облазит, лёгким испугом отделался))
	Ну к чему это я, для парней это рутина, да тяжело но кто-то должен это делать.
Catolampius	Тем не менее, ребятам за работу с водой в морозу, за работу с пеклом в жару, за повседневный экстрим надо платить как специалистам редких качеств.
	Усреднённый хомячок даже не подозревает, что работа пожарным это такая жопа.
dazevazovski	Усреднённый хомячок - это кто?
Catolampius	Это если сложить меня, тебя, его, её и того дегенерата в одну кучу, тщательно перемешать и поделить на 5.
	Получится пять усреднённых хомячков.
maxsharrr	Один же получится, усреднённый
