johniWOO	Да как бы сыкотно 16 А на всю квартиру ставить. Давеча собрал себе бюджетный щит.. две комнаты...Тапкамитне кидаться
Kovalevan7	Пфф) у меня вот этот пиздец на однушку получился
Mukvik	На каждую розетку своё УДТ? А для чего?
Kovalevan7	Не на розетку, точек более 30.
	1. Плита+духовка
	2. Холодильник+посудомойка+вытяжка
	3. Столешница+розетки по периметру кухни+балкон. Сдесь все микроволновки и чайники и тп.
	4. Тёплый пол в трех комнатах
	5. ТВ в двух комнатах + все с ними связанное + сюда же утюг
	6. Стиралка и розетки в ванной
	7. Всё розетки спальни
	8. Все резервные линии*
	Так как пускал всю проводку по полу, то в каждую комнату кинул по резервной линии под потолок, замурованные в стены в коробках. Если что-то сдохнет, то не вскрывать пол, а подключиться к резерку, проштробив стены.
NIKODIMURAL	👍👍👍👍👍
	Дружищще ващще молорик.
	Уверен, у тебя запасная квартира в соседнем подъезде приобретена, на крайний случай 🤫
	Красссафчик 🤝
Kovalevan7	Не в соседнем подъезде, но в минутах 20 хотьбы)
	Но там уже трёшка и вот такой.
NIKODIMURAL	И это еще, только в гараже запасном 👍👍👍👍👍
	А в трёшке я вам не покажу 🤣🤣🤣🤣🤣
	Анекдот про опухшее яичко вспомнил))
	Я знал, что ты красава 🤝
	Чётко
