Davis78	Оо, автор, как вовремя) Подскажите плизз.
	Поклеил обои под покраску. Как раз краску выбираю.
	Порекомендуйте 9 литров в районе 4000 руб. Мне бы с колеровкой.
	Хочу серые стены как фото.
	Читаю отзывы, пишут что Тиккурила испортилась, мол, по четыре слоя мажут(
	В голове каша уже, а покупать завтра планирую, как раз в Леруа.
	Чем красить-то, братцы?
Dust23	Тикурила классная краска, бери не парься, лучше 90% того, что продается
Dust23	Что то я тут рпспизделся
palychsk1	Посмотрите, этот долбоёб сам с собой разговаривает
palychsk1	Ебанутый какой-то
