Aloha.Bro	Болгаркой когда впервые резал трубу, то сжёг себе всю матню на спортивных штанах искрами. Встаю, а с жопы дым, и трусы светят. )) Мужики, падлы, всё видели и даже не сказали нифига. Тупо ржали. )
cebepiii	Смени направление вращения, перевернув голову болгарки
yurkinz	Ииии... Никогда так не делай!! По ТБ искры должны на тебя лететь, тогда осколок диска летит вперёд.
cebepiii	Нет такого в тб.
	Возможны оба варианта.
	Линию реза следует располагать таким образом, чтобы болгарка шла на мастера, к тому же человек не должен находиться в плоскости вероятного разлета диска. Направление искр при этом возможно как в сторону от мастера, так и под него – это каждый решает сам. Для левшей вариантов нет – при хвате болгарки единственно удобным для левши способом искры будут идти «под себя».
	Источник: https://proinstrumentinfo.ru/tehnika-bezopasnosti-pri-rabote...
yurkinz	Почему миллионы людей режут искрами от себя и чем им это грозит?
cebepiii	Ну вы хоть сами тот пост почитали. А ахинеи и отсебятины от итшника до жопы.
	А ещё претендуете на Тб. А в доказательства приводите пост мутного типа.
	Аплодируб стоя
