Krinitsky	Суд по изменению меры пресечения будет в восторге от выкрутасов Лёшеньки, просто дадут ему по-полной.
KotDiVoir	Будет знать как рыпаться на олигархов и коррупционеров, которым принадлежит Россия.
KotNachaev	А у Навального есть сюжеты например про Чубайса?
	Или про олигарха Потанина?
	Или про Алишера Усманова?
	Или про Абрамовича.
	Что же он только по кооперативу Озеро работает?
	Это странно... Очень, очень странная избирательность
KotDiVoir	Усманов фигурировал в расследовании про Медведева. Загугли "Тьфу на тебя".
	Он минимум с 2015-го требует введения санкций на Абрамовича и Усманова: https://www.bbc.com/russian/uk/2015/03/150312_brit_press
	В Германии недавно он это повторил.
	Про Прохорова было видео:
KotNachaev	Ну, значит я не в курсе. Виноват.
	Хотя злые языки поговаривают, что Навальный человек клана либеральных олигархов близких к власти, и мочит прежде всего кооператив Озеро и иже с ними.
	Нужно внимательнее посмотреть кого он не трогает из верхушки. Это может быть интересно.
KotDiVoir	Если "озеро" больше всех грабит Россию, так как занимает верхушку вертикали, логично что про них и больше расследований.
	На счёт кремлёвских либералов, у него было видео на тему:
KotNachaev	То, что Навальный просто честный человек и не действует в интересах определённого клана, я полностью исключаю.
	Я помню его выверты ещё во времена Болотной.
