aspidus	еще цены неплохо бы выложить так совсем грустно станет
	ну а помню полевые аэродромы для Ан-2 в районных центрах
	летал там где то в начале 80-х
xandrsh	1984 год
	Свердловск-Ленинград - 39.50 руб.
	Челябинск-Ленинград - 41 руб.
	Тоже вроде как часы работало, но в Кольцово (Свердловск) просидел 28 часов, был закрыт аэропорт из-за сильного ветра...
Zhivoj	Это получается сейчас дешевле билеты
keshafinkel	Причем на порядок дешевле
Zhivoj	Да нет, не на порядок, но чуть дешевле. Мой отец в 80-м году получал 250р и говорит, что это была очень неплохая зарплата. Если для удобства сравнения умножить ее на 100, то получается 25000р. Отсюда выходит, что билеты из Свердловска и Челябинска стоили 3950р и 4100р соответственно.
	Первый попавшийся сайт выдал мне следующие современные цены на прямые рейсы из Екатеринбурга
KPOTOJIOB	Сейчас структура расходов изменилась - в ней гораздо большую долю стали занимать медицина, образование и жилье. Т.е. при зарплате в 25 тыр на самолёт точно не останется.
Zhivoj	И тем не менее, если прикинуть цены на продукты и бензин, то получится что советский рубль примерно равен 100 современным. И это без учёта того, что у советского рубля было не очень с обеспечением товарами. Деньги у населения вроде и были, а потратить их было несколько проблематично.
