Плуперсон	Да-а, она вполне настоящая! Унтер-офицер Лорио!
Лорио	Осмелюсь доложить, сержант Лорио.
Полковник	Подполковник Лорио! Налей-ка мне, брат подполковник, немного вина из этой бочки.
Лорио	Ва-ва-ва…
Полковник	Что ты там бормочешь, идиот?
Лорио	Осмелюсь доложить, господин полковник, в этой бочке не вино, а порох.
Полковник	Ну, правильно. Ты мне сам говорил. Отсырел и булькает. Наливай!
Лорио	Не могу. У меня не получится. И вам может не понравиться.
Полковник	Наливай, тебе говорят, без разговоров! Что ты там копаешься, скотина!
Лорио	Осмелюсь доложить, крантик куда-то делся.
Полковник	Крантик у него куда-то делся. Я тебе покажу крантик! А ну, отойди в сторону.
Лорио	Вы чего собираетесь делать, господин полковник?
Полковник	Не видишь что ли? Сейчас продырявлю это бочку насквозь ко всем чертям.
Лорио	Не делайте этого, господин полковник! Иначе потом всю жизнь будете об этом жалеть!
Полковник	Что за глупости ты говоришь? Жалеть я буду только о том, что не пристрелил тебя раньше, рядовой Лорио! Отойди!
Лорио	Никак нет!
Полковник	Пошёл вон!
Лорио	Совершенно отнюдь!
Полковник	Он меня с ума сведёт… Короче, считаю до трёх! Раз! Два! Два с половиной!
Лорио	Хорошо, я отойду, но только при одном условии, господин полковник!
