ПРОФЕССОР	Да вы… да я… да чтоб вам было известно… я за всю жизнь… ни одной взятки… ни единой копеечки…
БЕЗРАБОТНЫЙ	Отдыхай, дядя.
АРТИСТ	А я хочу поддержать нашего уважаемого профессора. Мне, как работнику культуры близки и понятны проблемы, им обозначенные.
БИЗНЕСМЕН	Господи, у вас-то какие проблемы? Красивая жизнь: слава, цветы, поклонники, гонорары.
АРТИСТ	Много вы знаете! Мы артисты, тоже живем впроголодь. И при этом каждый день на сцене выворачиваем свои души наизнанку, чтобы порадовать зрителя. Гонорары, конечно, есть. Но вы представляете себе, сколько средств уходит на поддержание себя в форме. Это сантехник дядя Вася может позволить себе ходить в одной курточке пять лет подряд. А артист , артист должен соответствовать! А это значит и гардероб постоянно обновлять, и за внешностью следить. И на все это гонораров не хватает, а ведь надо же еще и покушать. Вот вы цветы поминали. Иной раз, не поверите, хоть цветы с голодухи ешь. Все думают, театр - это райская жизнь. Но за роскошным фасадом никто не видит обыкновенного дерьма!
ФЕРМЕР	Ха! А я вот всегда подвох чувствовал. Картинка красивая, а на деле что? Губы накрашены, а задница в гавне! Нет, не зря я на дух не выношу этот театр, всех этих шутов балаганных.
АРТИСТ	«А судьи кто?»
ДОКТОР	Друзья! Я призываю вас к порядку! Давайте не будем скатываться до оскорблений. И зачем все сводить деньгам? Мне кажется везде с этим проблемы.
БИЗНЕСМЕН	Это точно - денег много не бывает!
ДОКТОР	Думаете, у нас в медицине - финансовое благополучие? Далеко нет. Но при этом мы, врачи, стараемся оставаться верными клятве Гиппократа и честно служить гуманистическим принципам.
БЕЗРАБОТНЫЙ	Ой, вот только не надо тут заливать! В прошлом годе корешок мой, Петюня, с аппендицитом в больничку загремел. Так хирург первым делом давай у Петюни выяснять, чем он за операцию расплачиваться будет. А чем ему расплачиваться? Петюня, как и я, уж третий год безработный. Был.
АРТИСТ	Был? В смысле?
БЕЗРАБОТНЫЙ	Петюня хирургу полисом тычет, вот говорит, все, что имею. А хирургу та бумажка - только подтереться. Промариновал он Петюню в палате, все ждал, что Петюня разродится на бабки. А Петюня взял… да и загнулся. У него этот случился…как его там… патрон… патронташ?
ДОКТОР	Перитонит.
БЕЗРАБОТНЫЙ	О, точно! Перитонит.
АРТИСТ	Трагедия! Ах, как бы я мог это сыграть, эти муки, эту смерть! Ах…
ДОКТОР	Это, конечно же, дикость. Но это единичный случай, нельзя же по нему судить обо всей медицине. Уродов в каждой профессии хватает.
ФЕРМЕР	Да ладно, знаем мы, какая у нас медицина. Ежели бесплатная - то на тебя и смотреть не будут, не глядя, таблетки пропишут, и дуй с глаз долой.
