Прюданс	Я, пожалуй, пойду проветрюсь.
Олимпия	Что ж…Через месяц, Арман, вы вернулись в Париж.
Арман	Мне нужно было или любить или ненавидеть ее.
Олимпия	Граф N был слишком честолюбив, чтобы тихо провести эту зиму на курорте, разумеется, они с Маргаритой тоже приехали.
Граф N	Мне нужно было похвалиться перед вами своею победой.
Олимпия	Что бы там ни говорили, я была подругой Маргариты, и она часто бывала у меня. В тот вечер…
Герцог	В сущности, в тот вечер все мы встретились у Олимпии.
Граф М	Прибавьте, за игорным столом.
Арман	А где же Граф N? Мне нужно было сейчас же, немедленно увидеть Маргариту.
Олимпия	Но вы увидели меня. Граф с Маргаритой приедут позже. Делайте ставки, господа.
Граф М	Я ставлю …
Арман	Да. Ты раздавала карты. Блондинка, стройная с буклями, синие глаза, очень изящная.
Герцог	Ах, эта деточка, Олимпия, действительно, очень красива.
Арман	С кем она живет?
Граф М	Ни с кем и со всеми. Собираетесь поухаживать за ней?
Арман	Возможно.
Герцог	Ого! Мсье Дюваль в выигрыше.
Арман	Мне не везет в любви. Возьмите эти деньги, мадмуазель.
Олимпия	Что вам угодно?
Арман	Вы проигрались?
