Тренер	Толя, через 5 минут я жду тебя в низу. Не опаздывай!
Лилия	Толь, поздравляю тебя!
Толя	спасибо, Илья в медпункте, его здесь нет.
Лилия	я знаю. Я шла не к нему, а к тебе.
Толя	зачем?
Лилия	что бы поздравить…
Толя	поздравила?
Лилия	Толь, зачем ты так … агрессивно…
Толя	я вполне спокойно и даже миролюбиво настроен на разговор. Но извини времени мало.
Лилия	Толя… я много думала… прости меня…
Толя	я и не злюсь!
Лилия	Толь… я хочу к тебе вернуться. Я поняла, что люблю тебя.
Толя	грамотный ход, Лиля, очень грамотный, у меня-то теперь денег порядком больше чем у Ильи.
Лилия	что ты такое говоришь! Я же серьёзно!
Толя	ну да, а кто тут шутит! Лиль, у тебя всё? А то мне идти надо!
Лилия	просто тогда, что-то на меня нашло.
Толя	а сейчас всё ушло?
Лилия	Толя, я просто тогда была глупа…
Толя	пожила с Ильёй уму-разуму набралась?
Лилия	просто поняла, он не мой человек…
