ПЕТРОВИЧ	Ребят, тут к вам практикант.
ПАРЕНЬ	Здравствуйте, я Коля Жмакин…
АНАТОЛИЙ	Здравствуйте, я Феликс Изольдович Бздонский, а это Карл Густав Жижка.
ВИКТОР	Толя…
КОЛЯ	Простите…
АНАТОЛИЙ	Не, это ты прости, что-то я погорячился. Ты просто сказал «Жмакин», и как-то все само вырвалось.
КОЛЯ	Странная реакция на фамилию.
АНАТОЛИЙ	Ну это как сигнал: лучше ее не произносить.
КОЛЯ	Тогда просто Коля, студент, к вам на практику.
АНАТОЛИЙ	Проходи, Коля. Я Анатолий, редактор, а это мой зам Виктор.
КОЛЯ	Приятно познакомиться.
АНАТОЛИЙ	Нам тоже приятно. А что за сумка?
КОЛЯ	Я только с поезда, ну чтобы сразу обозначиться.
АНАТОЛИЙ	Это хорошо. Мы любим ответственных людей. Откуда сам?
КОЛЯ	С журфака.
АНАТОЛИЙ	Ммм, хорошее место! Девственность и печень я потерял именно там.
ВИКТОР	Ну а совесть и друзей - в газете.
АНАТОЛИЙ	Ну да, потеря потерь, но жить можно. Ты, Коля, сразу видно, хороший студент, сейчас напишем тебе характеристику, и пойдешь дальше учиться.
КОЛЯ	А работать?
АНАТОЛИЙ	А зачем? Тебе ж практика нужна, отчетность в универ, вот сейчас все сделаем и пойдешь.
