ГОЛОС ТЁТИ МО	Пианина тоже вещи - тоже в маленькую.
ЖИБРИЛО	Понятно…
ТЁТЯ МО	Здравствуй Мартин! Родители уже ушли?
МАРТИН	Да, мэм.
ТЁТЯ МО	Мэм… Мальчик мой, ты что, видишь на мне золото и меха?
МАРТИН	Нет, мэм.
ТЁТЯ МО	Вот и отлично! Тогда, будь добр, прекрати мэмкать и называй меня, как и все нормальные дети - тётя Мо!
ТЁТЯ МО	Мартин, мы договорились?
МАРТИН	Что? Простите. Разумеется, мэм! То есть, тётя Мо. Мэм.
ТЁТЯ МО	Прекрасно…
ТЁТЯ МО	Жибрило, спасибо! Как всегда - выручил!
ТЁТЯ МО	Кстати, что там сегодня на море?
ЖИБРИЛО	Море, что же еще…
ТЁТЯ МО	Прекрасно… Ну, Мартин, сынок, осмотрись, привыкай, мы люди гостеприимные, тебе у нас обязательно понравится!
ХЕЛЬГА	Здорова, мелюзга!
МАРТИН	Я не мелюзга - мне восемь.
ХЕЛЬГА	Ха! Мне девять! Твоя пианина?
МАРТИН	Родителей.
ХЕЛЬГА	Музыканты?
МАРТИН	Они врачи.
