Студент	Бать, а бать! Вы, почему с мамкой меня не окрестили?
Ветеринар	Сынок, так я ж комсомолец… ещё в ветеринарном в кандидаты собирался… У нас даже свадьба безалкогольная была.
Сашок	Какая?
Алексей Александрович	Помню я ту безалкогольную. Ага…
Сизыч	Так это… тоже помню. Амбар спалили, а Тамарка, так это…Позднячкина, тётя твоя, «Урал» утопила…
Афанасич	Ага, а тебе морду зашивали.
Сизыч	Так это… точно! Одиннадцать швов!
Ветеринар	Завязывайте, мужики! Это потом было, а, сначала-то, как положено, комсомольская свадьба, без этого - самого.
Сизыч	Так это… сначала без этого, правда.
Афанасич	Да нет, конечно, без этого.
Алексей Александрович	Правда, правда…
Ветеринар	Вот…
Полутатарин	Тут, понимаешь, либо амбары палить, либо детей крестить.
Сашок	Всё это хорошо! Да только, если б не так плохо было… А кто тут крещёный? Ну, вот мы с брательником крещёные…
Алексей Александрович	Нас, втихаря, бабка наша с дедом таскали в соседнюю деревню окрестить.
Сашок	Ну, поп наш. Ещё кто…
Власыч	Меня, как полагается, но по староверскому обычаю…
Сашок	Обана! Так ты кержак? А с виду не скажешь!
Власыч	Дурак ты, Сашок, подлечиться бы!
Сашок	Извиняйте, дядя. Так, что? Всё? Остальным в рай ходу нет?
