Парень	А сейчас минутка поэзии. Любите друг друга.
Он	Вы тоже это заметили?
Она	Что?
Он	Три ошибки. Там должно быть: «Тому, кто не способен заменить собой весь мир, обычно остаётся крутить щербатый телефонный диск, как стол на спиритическом сеансе, покуда призрак не ответит эхом последним воплям зуммера в ночи»… У вас когда-нибудь был дисковый телефон?
Она	Только у бабушки. А у нас появился поздно и сразу кнопочный.
Он	А мой отец отказался кнопочный ставить. Что, говорит, это такое, пынь- пынь-пынь, и не телефон вовсе. Волнения нет перед звонком. И вообще не трогай этот аппарат, я с него твоей матери звонил… Представляете?
Она	Представляю.
Он	А вы в Комарово?
Она	Да.
Он	К Лихачёву?
Она	Думала, про Ахматову спросите.
Он	Вам «Небесные верблюжата» подходят больше.
Она	Никогда не задумывалась.
Он	И почему в субботу в некрополь, а не в музей, тоже не задумывались?
Она	Я как раз из музея. Там омертвевшая память. Цветы на могилах молчат, но это говорящее молчание. В нём больше смысла, чем в словах экскурсоводов.
Он	Хотите, я покажу вам живую память? Дома, вещи и даже пыль, которые сами будут разговаривать с вами. Без посредников. Хотите?
Она	Вы?
Он	Вы сомневаетесь?
Она	Моя соседка родилась в блокаду. Вы можете найти для меня другую живую память?
Он	Завтра. Хотите?
