Я в л и н с к и й	Приятно иметь дело с умными людьми.
З ю г а н о в	Капиталисты! Им бы лишь бы деньги срубить.
М е д в е д е в	Вспомнился один забавный случай. Как-то мы с Владимиром Владимировичем катались в Красной Поляне на лыжах, причем были там инкогнито. И вот, значит, заехали в кафе выпить… чаю. И с нас даже не взяли денег!
Г о р б а ч ё в	Это что! Я как в Германию ни приеду, как ни зайду в ресторан, мало того что кормят бесплатно, ещё и с собой привожу полные сумки. Вот это уважение!
П у т и н	Мы в курсе, Михаил Сергеевич, все счета ваших поездок приходят к нам в президентскую администрацию.
Ж и р и н о в с к и й	Да, ещё бродят призраки коммунизма по Европе.
К а с п а р о в	И не только бродят, но и пьют и закусывают.
Г о р б а ч ё в	Это вы уже, конечно, далеко зашли, но юмор я всегда ценил. Помню, министр у меня был, запамятовал, как его там… Всё шутить очень любил. Так я нашёл ему место работы по специальности, до сих пор теперь шутит где-то в Сибири…
М е д в е д е в	Я тоже считаю, что юмор - это прекрасно. И, думаю, в этом плане мы отличаемся исключительной сообразительностью.
К а с п а р о в	Что и показали прошлые президентские выборы…
М е д в е д е в	Не понимаю, куда вы клоните, но как раз выборы показали, что народ нам доверяет, и мы идём с ним параллельным курсом.
З ю г а н о в	Действительно, с чем, с чем, а с чувством юмора, вижу, у вас всё в порядке.
Ч е р н о м ы р д и н	Вы над собой лучше посмейтесь, а президента с народом в свою клоунаду не суйте! Ничего святого уже не осталось…
З ю г а н о в	Что-то я слушаю вас, Виктор Степанович, слушаю, и никак не могу понять: о чём это вы всё время говорите?
Ч е р н о м ы р д и н	О чём хотел, то и говорю. А у кого слух хромает или с языком не в порядке, это уже не сюда, а в другое место…
Ж и р и н о в с к и й	Да вам всем туда надо , в другое место… Людям пожилого возраста положено отдыхать, в санатории лечиться, а не лезть куда не надо со своими маразмами.
Ч е р н о м ы р д и н	Ну, с…хр… Смотрю, вы только чепуху молоть умеете, бросаться своими испражнениями направо и налево.
Г о р б а ч ё в	Я тоже не согласен, если вы и на меня намекали. Тут только второе дыхание началось открываться, а вы сразу - на пенсию. Не над так…
М е д в е д е в	Господа, давайте свои личные вопросы обсуждать в кулуарах или в других заведениях, а здесь мы собрались по конкретному поводу.
