ТОМАС	Зачем вы меня звали?
ФРАНЧЕСКА	Налей мне вина, Томас.
ЛАУРА	Это кто там ходит?
ДЖЕНИФЕР	Дядя Фрэнк.
ЛАУРА	Почему? Как он может там ходить?
ТРЕВЕР	Разволновался чего-то. Вот и ходит.
ФРАНЧЕСКА	Тревер, не пугай Лауру! Пойди, погляди, кто там?
ТРЕВЕР	Чего глядеть? Ты же сама говорила, что это дядя Фрэнк волнуется и ходит по комнате.
ЛАУРА	Как? Ведь этого не может быть.
ДЖЕНИФЕР	Сегодня я, почему-то почувствовала его присутствие в этом доме.
СОФИЯ	Мама.
ДЖЕНИФЕР	Да. Мне вправду показалось, что он здесь.
ЛАУРА	Франческа!
ФРАНЧЕСКА	Что, Франческа? Дженифер, прекратите нести чепуху. Вчера я подумала, что вы немного не в себе, а сегодня я в этом убеждаюсь.
ТРЕВЕР	Прекрати, Франческа! Перестань, наконец, оскорблять людей в нашем доме!
ФРАНЧЕСКА	Я никого не оскорбляю, Тревер! Чем кричать на меня, пойди и посмотри, кто там ходит! Может быть это вор, который и украл мой бриллиантовый браслет?
ЛАУРА	Так. Я выпью еще.
ФРАНЧЕСКА	Я тоже!
ДЭВИД	Пойду, посмотрю, кто там.
ФРАНЧЕСКА	Сынок!
