ТЕТЯ ШУРА	Ой, батюшки! Тогда надо стаканы почище помыть…
ВЕСОВЩИК	Весы поточнее отрегулировать…
ГАЗЕТЧИК	Самые красивые журналы выложить…
ЧИСТИЛЬЩИК	И все шнурки бантиками завязать.
ПЕТЯ	А что же это за гость? Мы его знаем?
РЕГУЛИРОВЩИК	Конечно.
ПЕТЯ	Интересно, кто же это такой.
РЕГУЛИРОВЩИК	А вы попробуйте угадайте.
ПЕТЯ	А наводящие вопросы можно?
РЕГУЛИРОВЩИК	Пожалуйста.
ПЕТЯ	Он взрослый?
РЕГУЛИРОВЩИК	Взрослый.
ПЕТЯ	А где работает?
РЕГУЛИРОВЩИК	На дороге.
ЧИСТИЛЬЩИК	Я знаю. Это - милиционер.
РЕГУЛИРОВЩИК	Почему милиционер?
ЧИСТИЛЬЩИК	Потому что на дороге работает и взрослый. Ребенков милиционеров не бывает. Их взрослые шоферы слушаться не будут.
РЕГУЛИРОВЩИК	На дороге не только милиционеры работают, но и дорожные рабочие, но это не рабочий.
ВЕСОВЩИК	А весит он много?
РЕГУЛИРОВЩИК	Много.
