До	Это…это что такое?
Од	То же самое я хочу спросить у тебя.
Тэ	Что это значит?
Ши	Это значит, мы здесь не одни.
Ид	Что нам делать?
Ишь	Сохранять спокойствие. Вы кто?
Ши	Мы - Белый народ. А вы?
Ишь	Мы - Черный народ.
Од	Да нечего с ними разговаривать. Пусть уходят.
Ру	А я говорила: добром это не кончится.
Ди	Спокойно. Чего вы хотите?
Од	Чтобы вы убрались отсюда.
Ишь	Помолчи! Мы хотим здесь жить.
Тэ	И мы хотим здесь жить.
Ам	Мы можем быть соседями. Места хватит на всех.
Ур	Да. Это было бы…
Од	Зачем нам соседи? Тем более такие - непохожие на нас.
Ма	Вы могли бы чему-нибудь научиться у нас. А мы - у вас.
Од	Мы и так все знаем.
Эт	А что вы умеете?
