Васильевич	нельзя.
Коля	Какое давление, Василич? Оно у тебя в колодце упало. От холодной воды. Сейчас в баньке попаримся, с веничком. И давление в норму придет!
Юля	Может, в самом деле, а? Я сильно жарко топить не буду, а вы просто погреетесь, а то вдруг пневмонию схватите?
Света	Ну разве что погреться, если сильно не топить, то и нормально, а, Василий Васильевич? Все! Топим баню! Коля, давай!
Коля	Я мигом. Василич, сейчас будет тепло!
Света	Я давно говорила, что надо насос в колодец поставить, а колодец накрыть.
Юля	Так есть насос-то! Макс в этом году поставил. Только он сломался, надо в мастерскую везти. Вот опять по-старинке. Я же не знала, что твои соседи приедут в колодец падать.
Света	А чего не накрыли колодец-то? Макс вечно наполовину делает. Нет бы закончить все. Дети тоже могут упасть случайно.
Юля	Ну, это разве что твои. Мои не падают.
Света	А мои упадут, ну и пусть, что ли?! Вот тетка называется! Моих детей ей не жалко, пусть падают!
Юля	Да я не к тому! А балуешь ты их очень сильно, каждый шаг проверяешь, нянькаешь. Пора бы уж им самостоятельными быть!
Света	Твои не падают, потому что привыкли! Все лето здесь живут! А я тебя просила моих взять, ты отказалась! «Не возьму ответственности!» Вот и приходится мне при такой даче шикарной в лагерь их отправлять!
Юля	Конечно, ответственность! А не дай бог что случится, ты же меня первую съешь! Они у тебя болеют постоянно, кутаешь ты их, как я за ними услежу?
