Франсуа	Мишееееель!!!
Виолетта	А это что за доходяга?
Рене	Я… в общем, вот… Я не туда попал?
Камилла	Чего он так скукожился, бедняга?
Виолетта	Смотрите, как бы пол не заблевал!
Мишель	Гляжу, мой друг, ты сам сюда явился, Упал как снег на голову мою.
Камилла	Ты точно шел сюда?
Виолетта	Не заблудился?
Рене	Я с детских лет играю и пою!
Мишель	Сухой актерский хлеб не равен чуду, А шутовство считается за грех…
Рене	Но я хочу играть! А значит - буду!
Камилла	Серьезная заявка на успех!
Рене	Я вам такой не нужен? Да, конечно…
Мишель	Эй, ты куда? Назад! Кому сказал!
