БАБКА	О, Господи! Сохрани и помилуй нас, грешных… Что теперь делать, отец?
ДЕД	Как что? В лес идти, Лешего искать, внучку из беды выручать. Я пошёл в дорогу готовиться, а ты берись подорожники стряпать. Закон таёжный знаешь: идёшь в лес на час - хлеба бери на неделю. Можно и в трёх соснах заблудиться.
ДАША	Дедушка, а звери тебя не закусают?
ДЕД	Откуда мне знать, Дашенька.
ДАША	А если ты взаправду заблудишься?
ДЕД	А я Бога попрошу, Он и поможет. Я ж на доброе дело иду. Да и компас у меня есть.
ДАША	А если ты в болото упадёшь и совсем утонешь?
ДЕД	Значит, судьба моя такая. Без дедушки жить будете.
ДАША	Возьми меня с собой, дедушка. Я зверей уговорю, я тебе помогу. Я даже драться умею.
ДЕД	Что ты, Дашенька. В дремучем лесу высокие ветровалы, глубокие буераки, ты ходить там не сможешь.
ДАША	Бабушка, бабушка! Можно я зверям пирожков напеку9 БАБКА. Конечно, милая. Но знай: нам допоздна работать придётся.
