ПАНКРАТ	А чё сразу Панкрат? Чё Панкрат, в натуре?
СТЕПАНИДА	Ну, вот видите, Панкрат - вполне подходящая кандидатура. Начнём теперь с девочек. Евлампия, по-твоему, Панкрат мог бы хорошо выступить перед нашим гостем?
ЕВЛАМПИЯ	Перед нашим гостем?
СТЕПАНИДА	Да, перед гостем.
ЕВЛАМПИЯ	Перед гостем…
СТЕПАНИДА	Смелей, смелей, Евлампия. Как ты думаешь?
ЕВЛАМПИЯ	Как я думаю?
СТЕПАНИДА	Да. Ты как думаешь, Евлампия?
ЕВЛАМПИЯ	Я как думаю - Евлампия.
СТЕПАНИДА	Не поняла. Ты что же?.. Ты предлагаешь себя?
ЕВЛАМПИЯ	Я предлагаю себя.
СТЕПАНИДА	О. Не было гроша, - купила карася! Ну, ладно, хорошо…
ЕВЛАМПИЯ	Хорошо.
СТЕПАНИДА	Хорошо.
ЕВЛАМПИЯ	Хорошо.
СТЕПАНИДА	Я уже сказала - хорошо. Ты девочка умная, способная…
ЕВЛАМПИЯ	Я - девочка…
СТЕПАНИДА	Всё, Евлампия, послушаем других. Фелицата?
ФЕЛИЦАТА	Я предлагаю Фелицату.
СТЕПАНИДА	То есть, и ты предлагаешь себя?
