СЕМЕН	Извините…
МАРИНА	Петя, кажется, твоя очередь…
ПЕТЯ	Лиза пусть сначала…
ЛИЗА	Мне нечего сказать.
ДЕНИС	Но ты же ходила за ней…
ЛИЗА	Мне нечего сказать.
МАРИНА	И замечательно, меньше конкурентов!
ПЕТЯ	Я не собираюсь участвовать в этом фарсе. Мне не нужны такие деньги.
МАРИНА	Ну, тебе может и не нужны, а нам с малышом нужны… Третий месяц…
ПЕТЯ	Ты беременна?! Почему ты ничего не говорила?
МАРИНА	Не хотела ничего говорить, пока не узнаю точно.
ПЕТЯ	Третий месяц?!
МАРИНА	Ну, ты постоянно работаешь…
ДЕНИС	Каким по счету?
МАРИНА	Первым…
ДЕНИС	Очень странно. Ты только на первом курсе сменила пятерых…было бы шестерых, если бы меня не отшила…
МАРИНА	Хватит лезть в мою жизнь!
ФЕДОР СТЕПАНОВИЧ	Денис, перестань, я тебя умоляю.
МАРИНА	Так вот. Мой Петя был лучшим другом вашей Светланы в университете, они на экзаменах всегда друг другу помогали, у них даже фотографии совместные есть. Так что он был ближе к ней, чем все вы вместе взятые.
ПЕТЯ	Уймись.
