Тишина	Давид отломил ломоть хлеба, густо посыпал солью. Уселся на стол, жует. В окне появляются две головы - темная и светлая, две смеющиеся рожицы. Это - Танька и Хана.
Танька	Маугли, братец! Доброй охоты! Мы одной крови: ты и я!
Хана	Додька!
Танька	Месяц скрылся за тучи… Доброй охоты, братец! Мы одной крови: ты и я!
Давид	Чего надо?
Танька	Играть выйдешь?
Давид	Нет.
Танька	Почему?
Давид	Потому что… Одним словом, это мое дело - почему!
Танька	Что ешь?
Давид	Хлеб.
Танька	С чем? С вареньем?
Давид	Нет. Просто хлеб с солью.
Танька	Тю! А у нас сегодня мать пироги с капустой пекла. Я вот такущих четыре куска съела!
Давид	Я не люблю пирогов с капустой.
Танька	Черный хлеб вкуснее?
Давид	Да.
Танька	Нарочно говоришь? Ты пойдешь с нами в Маугли играть?
Давид	Нет, не пойду.
Танька	А в Буденного?
