Аня	Не может быть.
Лопахин	Да нет же. Его нашел мертвым в этом доме Епиходов вскоре после того, как мы все уехали. Он же занимался его похоронами.
Ковалев	Кто такой Епиходов?
Раневская	Мой конторщик. Теперь он работает у Ермолая Алексеевича.
Гаев	Позвольте узнать, Кирилл Федорович, на чем основываются ваши подозрения?
Ковалев	Я получил письмо.
Раневская	Боже, какой ужас.
Варя	И кто же убил нашего бедного Фирса?
Ковалев	Увы, не знаю. В письме было только сказано, что смерть Фирса не была случайной. Впрочем, прочтите сами.
Раневская	Какой ужасный почерк, ничего не могу понять.
Ковалев	Давайте я сам прочитаю. «Милостивый сударь, будучи честным человеком, почту своим долгом сообщить, что слуга помещицы Раневской умер не своей смертью. Смею напомнить, что это претит божьим заповедям…». Ну и дальше там в том же духе.
Раневская	Кто его написал?
Ковалев	Мне неизвестно, письмо не подписано. Написано оно с грамматическими ошибками, ужасным почерком и на обрывке листа.
Гаев	Письмо положительно написал малообразованный человек.
Ковалев	Возможно, что так. Но возможно, что его, напротив, написал образованный человек, хотевший, чтобы его сочли необразованным.
Раневская	Теперь на основании этой анонимки вы намерены начать следствие? Нет, мне очень жаль Фирса, но он был старый и к тому же слуга.
Ковалев	Я не хочу заводить следствие. Просто я хочу выяснить кое-что для себя.
Лопахин	Кирилл Федорович, позвольте, я кое-что объясню. У Кирилла Федоровича в этом деле есть личный интерес. Он родственник Фирса, его внучатый племянник.
Гаев	Не может быть!
Раневская	Да, Фирс мне никогда не говорил, что у него есть родственники.
